model,feature_set,n_obs,overall_RMSE,overall_MAE,overall_DA,overall_R2_OOS,lowvol_RMSE,lowvol_MAE,lowvol_DA,lowvol_R2_OOS,highvol_RMSE,highvol_MAE,highvol_DA,highvol_R2_OOS
ridge_a100,standard,161,0.021467909701437724,0.015651873147262445,52.17391304347826,0.009813724088293951,0.02020368166672619,0.01513415860145514,51.61290322580645,0.005719613315539718,0.04268293562379325,0.02902616558061776,66.66666666666666,0.0328637437420326
ridge_a10,standard,161,0.021470330725641754,0.015666411993813842,54.037267080745345,0.009590376762120045,0.02020749697676064,0.01514896791904488,53.5483870967742,0.005344053436456275,0.04266895154602216,0.029033717258678742,66.66666666666666,0.03349735963225786
gbr_conservative,full,161,0.021506209106158015,0.015843990889280336,49.68944099378882,0.0062775276129897195,0.020435383308168735,0.015377784764119929,48.38709677419355,-0.017216543857928812,0.040283337646059764,0.027887649122590855,83.33333333333334,0.13855015998895437
ridge_a1000,standard,161,0.021546465064449283,0.015717269035025207,49.68944099378882,0.0025538876318573767,0.020276451129616724,0.015193127591566257,49.03225806451613,-0.0014556680596307103,0.04285330078053092,0.029257589657714852,66.66666666666666,0.025127858543098736
lassocv,standard,161,0.02154929724453496,0.015734507000160946,51.5527950310559,0.0022916513280885065,0.02027654912712447,0.01520685970911216,51.61290322580645,-0.0014653482937228013,0.04289030036196527,0.029365395352254676,50.0,0.023443720709829807
ridge_a1000,full,161,0.021567180740354772,0.01579534516205148,45.962732919254655,0.0006349925033474202,0.02036158684729174,0.015284129617282217,45.806451612903224,-0.009883044071244518,0.04208318144531988,0.02900174673525734,50.0,0.05985199058177881
ridge_a100,full,161,0.021571311155933397,0.015881706079587908,46.58385093167702,0.00025217120553289174,0.020453477862712996,0.015365077953192374,46.45161290322581,-0.019018734578830854,0.04097421664348923,0.02922793267813939,50.0,0.10874819921507617
elasticnetcv,standard,161,0.021575913374392946,0.015774677438865407,50.31055900621118,-0.00017446477361016122,0.020305927772274912,0.015248585132540658,50.32258064516129,-0.004369492329908908,0.04289030036196527,0.029365395352254676,50.0,0.023443720709829807
ridgecv,minimal,161,0.02158996085514574,0.015744163909396258,46.58385093167702,-0.0014772606330930582,0.020324088544610344,0.015218910152366658,46.45161290322581,-0.00616682781718092,0.04285775467517082,0.02931321929932763,50.0,0.024925204214733654
ridge_a1,minimal,161,0.02159025946414643,0.01577293941297431,44.72049689440994,-0.001504963526496761,0.020348004250491176,0.015254911589570756,44.516129032258064,-0.008536168774714081,0.04256765197659761,0.029155324850899444,50.0,0.03808102428785898
ridgecv,full,161,0.021591649867113327,0.015753068603930012,45.3416149068323,-0.0016339606154849307,0.020388505524827544,0.01524021654723347,45.16129032258064,-0.012555005323962698,0.04208318144531988,0.02900174673525734,50.0,0.05985199058177881
ridge_a1,standard,161,0.021596627336974445,0.01582828972197473,47.20496894409938,-0.0020958222648630453,0.020326706578631747,0.015297775436343043,47.096774193548384,-0.006426061941324779,0.04291576872925775,0.029533242100793212,50.0,0.022283613267775282
lassocv,minimal,161,0.02159833376308586,0.01579568278960381,46.58385093167702,-0.002254186810145997,0.020333300844947874,0.01527241657410224,46.45161290322581,-0.0070791650855706045,0.04285807456414891,0.029313393356727873,50.0,0.02491064830314116
ridge_a10,minimal,161,0.021601895125621197,0.0157794582120126,45.962732919254655,-0.0025847386786783666,0.02033981257417019,0.01525623103595017,45.806451612903224,-0.007724301549033585,0.042826404132136744,0.02929616026029208,50.0,0.02635122122785183
ridge_a100,minimal,161,0.021603928124632084,0.015780838000541274,46.58385093167702,-0.0027734582037342026,0.020339733823207196,0.015257064463798528,46.45161290322581,-0.007716498221912449,0.04285487859599519,0.029311654366395514,50.0,0.02505606959665274
ridge_a1000,minimal,161,0.021604143113888252,0.01578098291707508,46.58385093167702,-0.002793416295737483,0.02033973643603797,0.015257154411955631,46.45161290322581,-0.007716757123319207,0.04285775467517082,0.02931321929932763,50.0,0.024925204214733654
hist_mean,minimal,161,0.021604167137190322,0.015780999099251604,46.58385093167702,-0.0027956464626477384,0.02033973684866082,0.015257164482833168,46.45161290322581,-0.007716798009489212,0.04285807456414891,0.029313393356727873,50.0,0.02491064830314116
hist_mean,standard,161,0.021610597607908736,0.01577898992914561,48.4472049689441,-0.0033926986599406295,0.02034420253052776,0.015253064557928487,48.38709677419355,-0.00815934421141673,0.04289030036196527,0.029365395352254676,50.0,0.023443720709829807
rf_conservative,full,161,0.02161527079304458,0.01607827549226801,47.82608695652174,-0.003826703023979583,0.020633754856082452,0.015651534211944016,46.45161290322581,-0.03706116489805322,0.039223449296051545,0.0271024252339713,83.33333333333334,0.18328474605473
hist_mean,full,161,0.02162486905113329,0.015804800607482197,43.47826086956522,-0.004718399183768485,0.02037312026559294,0.015287649152014133,43.225806451612904,-0.011027424653237361,0.042728414136723306,0.02916454654040727,50.0,0.030801685430200898
ridgecv,standard,161,0.021634135216070677,0.015741833410952755,49.68944099378882,-0.005579618828976063,0.02037318486312324,0.015218642846561966,49.03225806451613,-0.011033836040141853,0.042853300780530915,0.029257589657714852,66.66666666666666,0.025127858543098847
ridge_a0.1,minimal,161,0.02163699414563707,0.015856619625183834,47.82608695652174,-0.005845409093415022,0.020502362882464632,0.015362423147640646,46.45161290322581,-0.023895585488977522,0.04127128751228622,0.028623361961716182,83.33333333333334,0.09577785997882304
elasticnetcv,minimal,161,0.021646879904804267,0.015841059264894056,48.4472049689441,-0.006764743541406437,0.02038685307165588,0.015319549558113394,48.38709677419355,-0.012390880305283014,0.04285807456414891,0.029313393356727873,50.0,0.02491064830314116
elasticnetcv,full,161,0.021656052258927735,0.015787233524346366,45.962732919254655,-0.007618109866478484,0.02040749645030549,0.015269402052756913,45.806451612903224,-0.014442177705641601,0.042728414136723306,0.02916454654040727,50.0,0.030801685430200898
ridge_a10,full,161,0.021669049365179285,0.01610741207113517,48.4472049689441,-0.00882793789652525,0.020655880655946608,0.015635971449884396,47.74193548387097,-0.03928646130786717,0.03971574390509999,0.028286294786780252,66.66666666666666,0.16265485830123516
lassocv,full,161,0.021691860780521755,0.015830178007046287,44.72049689440994,-0.010953080140859273,0.02044696119637366,0.015314008902529088,44.516129032258064,-0.018369500521680182,0.042728414136723306,0.02916454654040727,50.0,0.030801685430200898
gbr_conservative,minimal,161,0.021695823293454895,0.015975548368133863,45.962732919254655,-0.0113224611341467,0.020507169390522596,0.015477015401160022,45.16129032258064,-0.024375719343262547,0.042031315796510677,0.02885431668162468,66.66666666666666,0.06216794373416956
rf_moderate,full,161,0.021756778575277046,0.016360455637226715,45.3416149068323,-0.017013145692826415,0.020909348095234218,0.015952227029023346,45.16129032258064,-0.06494903388757423,0.0375153608445161,0.02690636134914708,50.0,0.2528679655759357
gbr_conservative,standard,161,0.021768387566336596,0.01594991898405792,39.75155279503105,-0.01809875184840859,0.020543086358759375,0.015456232050257068,38.064516129032256,-0.02796711601801083,0.04258137835979912,0.02870349810724651,83.33333333333334,0.03746056266094233
ridge_a0.1,standard,161,0.021802533465505265,0.016120267391514922,44.72049689440994,-0.021295236893352776,0.020625453536798084,0.015597733316187008,43.87096774193549,-0.03622687718486284,0.042017810192118206,0.029619064337485974,66.66666666666666,0.06277053984925174
rf_conservative,minimal,161,0.021842513744814173,0.016108215981102295,42.857142857142854,-0.025044260493737758,0.020689250677939204,0.015627157271830516,42.58064516129032,-0.042647153268782434,0.04176396167193984,0.028535565970623216,50.0,0.07406078256655413
rf_conservative,standard,161,0.021869423248875655,0.016075940987875688,44.72049689440994,-0.027571480950995486,0.020613362193864882,0.01559219841845336,43.87096774193549,-0.03501229037023812,0.043090178204931565,0.028572624031285843,66.66666666666666,0.014320595954846693
ridge_a1,full,161,0.022021952055430137,0.01638199775946701,50.931677018633536,-0.04195510901564892,0.02119115656759115,0.01605437053418938,49.03225806451613,-0.09384845782650975,0.03758211645009903,0.024845701079139096,100.0,0.25020667565045906
rf_moderate,minimal,161,0.022082747026571026,0.016386734093448544,47.82608695652174,-0.04771600326157044,0.020982877334224232,0.01591941187616676,47.096774193548384,-0.07245214437035852,0.04136767140530533,0.02845922470656127,66.66666666666666,0.09154953457135817
rf_aggressive,full,161,0.022122928310034075,0.016920262199383442,43.47826086956522,-0.05153227435203478,0.021342238278393773,0.01655134647347641,42.58064516129032,-0.10950117651577451,0.03695973303325509,0.02645058511864833,66.66666666666666,0.27483513687482763
rf_moderate,standard,161,0.02217928751870012,0.016396330787333404,44.099378881987576,-0.056896755433365476,0.020906144562186736,0.01588637734121286,43.225806451612904,-0.0646227359980498,0.043691878532612013,0.02957012814544736,66.66666666666666,-0.01339915271936909
rf_aggressive,standard,161,0.02218586996716892,0.016539929396260637,45.3416149068323,-0.057524187742057364,0.02122017245806404,0.016099619934683434,44.516129032258064,-0.09684600221947948,0.03968716952612795,0.027914590487004967,66.66666666666666,0.16385931818479238
rf_aggressive,minimal,161,0.02221503939909344,0.016574159180275924,45.3416149068323,-0.06030682899378559,0.021266236163539266,0.016148122575333396,44.516129032258064,-0.10161312931633026,0.039487550714742504,0.027580104807957945,66.66666666666666,0.1722494175528465
ridge_a0.1,full,161,0.022365673000320697,0.016737068430868394,48.4472049689441,-0.07473483272981674,0.021756201235676766,0.016478200580992034,47.096774193548384,-0.15295928952857452,0.03456744768756532,0.023424487886007737,83.33333333333334,0.365672221865178
gbr_moderate,minimal,161,0.023035776962950227,0.01755694202957518,49.68944099378882,-0.14010043874468892,0.022416433926877533,0.017268215889087977,49.03225806451613,-0.22399850738319937,0.035466442393885286,0.025015700658827942,66.66666666666666,0.3322492944129588
gbr_moderate,standard,161,0.023176490474913155,0.017631351929610718,42.857142857142854,-0.1540715343094654,0.02261942525035078,0.017300644440927358,42.58064516129032,-0.24626663830468654,0.034586007855827446,0.026174628720597625,50.0,0.36499086459056196
gbr_moderate,full,161,0.02323730679040923,0.018212456737188434,38.50931677018634,-0.16013616820769272,0.02271654891195343,0.0179318438246151,38.064516129032256,-0.256992096085094,0.034032125958682345,0.025461623645332682,50.0,0.3851668695147614
gbr_aggressive,full,161,0.025043226425315732,0.019401473543022206,40.37267080745342,-0.3474663957544517,0.025138203269586896,0.019391868010008622,40.0,-0.5392753184482373,0.022450826616389332,0.01964961647920643,50.0,0.7324260847510933
gbr_aggressive,minimal,161,0.025644961954463325,0.018850825051119225,52.79503105590062,-0.4129978502565528,0.025150275903820688,0.01863430048975916,51.61290322580645,-0.5407541488943639,0.0361496363767979,0.024444376219587605,83.33333333333334,0.30627560323364356
gbr_aggressive,standard,161,0.026089531601536275,0.019328211077224978,45.962732919254655,-0.46241269018697095,0.02567846877133965,0.019071761660823285,45.16129032258064,-0.6061499335133793,0.03507697861108227,0.02595315433426874,66.66666666666666,0.34683416891033747
